param_value,mean_best,median_best,std_best,min_best,max_best,n
0,357479.58875021455,361003.4928728591,6528.1713636045915,349946.70988694846,361488.5634908361,3
20,201231.2885912702,199618.61635093403,9539.649888289687,192600.7615580868,211474.4878647897,3
5,218102.28795278422,223835.74866293292,11721.625242218135,204617.5507445904,225853.5644508293,3
50,162251.97324897675,162034.9495308391,5711.348071945543,156652.2303547746,168068.7398613165,3
