param_value,mean_best,median_best,std_best,min_best,max_best,n
0.01,201506.9290281599,203198.4941513613,9907.888551084161,190862.1561555026,210460.1367776158,3
0.03,210180.8576732783,209577.97630779777,6884.495981240021,203617.62899325407,217346.96771878304,3
0.07,213517.6392770887,217509.73437279588,21319.24921911731,190484.53466730373,232558.6487911665,3
0.15,224766.97420351324,220263.5262069168,14528.384195015307,213023.58603990165,241013.8103637212,3
