run_id,seed,param_name,param_value,n_pop,n_gen,p_mut,p_cx,selection_method,crossover_method,local_search_tries,local_moves,elite,tournament_k,time_s,best_length,hist_path,tour_path
31,54682101,p_mut,0.07,80,200,0.07,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,14.020448446273804,222306.76821931687,results_demo\hist_31.json,results_demo\tour_31.json
32,54696127,p_mut,0.07,80,200,0.07,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.09007716178894,206519.4698138703,results_demo\hist_32.json,results_demo\tour_32.json
33,54709231,p_mut,0.15,80,200,0.15,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.325447797775269,238171.76740351075,results_demo\hist_33.json,results_demo\tour_33.json
34,54722568,p_mut,0.15,80,200,0.15,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.78496265411377,221126.8479492026,results_demo\hist_34.json,results_demo\tour_34.json
35,54735357,p_mut,0.15,80,200,0.15,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.962644338607788,221064.51662796765,results_demo\hist_35.json,results_demo\tour_35.json
36,54748328,p_cx,0.6,80,200,0.05,0.6,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.179967164993286,177018.9676322159,results_demo\hist_36.json,results_demo\tour_36.json
37,54761515,p_cx,0.6,80,200,0.05,0.6,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.53416895866394,183139.41780326725,results_demo\hist_37.json,results_demo\tour_37.json
38,54774055,p_cx,0.6,80,200,0.05,0.6,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.423254013061523,175768.54299096225,results_demo\hist_38.json,results_demo\tour_38.json
39,54786482,p_cx,0.75,80,200,0.05,0.75,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.773256540298462,211544.570109137,results_demo\hist_39.json,results_demo\tour_39.json
40,54799261,p_cx,0.75,80,200,0.05,0.75,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.63751769065857,184935.23978227258,results_demo\hist_40.json,results_demo\tour_40.json
41,54811906,p_cx,0.75,80,200,0.05,0.75,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.446038722991943,188570.5506246606,results_demo\hist_41.json,results_demo\tour_41.json
42,54825355,p_cx,0.9,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.98568320274353,213199.3552384175,results_demo\hist_42.json,results_demo\tour_42.json
43,54838347,p_cx,0.9,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.264986515045166,199182.11575145155,results_demo\hist_43.json,results_demo\tour_43.json
44,54851626,p_cx,0.9,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.48587417602539,209495.8841206627,results_demo\hist_44.json,results_demo\tour_44.json
45,54865117,p_cx,1.0,80,200,0.05,1.0,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.169296026229858,210808.78031622156,results_demo\hist_45.json,results_demo\tour_45.json
46,54878299,p_cx,1.0,80,200,0.05,1.0,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.882084608078003,226437.0751708875,results_demo\hist_46.json,results_demo\tour_46.json
47,54892184,p_cx,1.0,80,200,0.05,1.0,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.987329483032227,219672.1368811593,results_demo\hist_47.json,results_demo\tour_47.json
48,54905179,selection_method,tournament,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,14.384637594223022,194675.31694812735,results_demo\hist_48.json,results_demo\tour_48.json
49,54919568,selection_method,tournament,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.347439527511597,195326.92609921118,results_demo\hist_49.json,results_demo\tour_49.json
50,54932920,selection_method,tournament,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.456879615783691,203526.10667832935,results_demo\hist_50.json,results_demo\tour_50.json
51,54946386,selection_method,roulette,80,200,0.05,0.9,roulette,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,16.17725944519043,352513.60895324533,results_demo\hist_51.json,results_demo\tour_51.json
52,54962571,selection_method,roulette,80,200,0.05,0.9,roulette,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,15.0267493724823,348646.5878177571,results_demo\hist_52.json,results_demo\tour_52.json
