param_value,mean_best,median_best,std_best,min_best,max_best,n
rank,209279.98748044934,203917.3598444259,19135.892775699234,193397.5177145287,230525.0848823934,3
roulette,219066.18694376887,223369.51965037768,19882.214246651674,197384.71160363787,236444.32957729104,3
tournament,122992.64398339069,121813.38101043033,5935.087802721309,117735.7148265127,129428.83611322906,3
