param_value,mean_best,median_best,std_best,min_best,max_best,n
100,175776.64069013917,168972.0390440699,26801.502767695532,153033.31859201306,205324.56443433452,3
1200,113839.25749184814,113822.0099758382,935.0985639296689,112912.90198983878,114782.86050986745,3
300,113229.37346789516,112686.68984619708,2300.990614692698,111248.23249879685,115753.19805869156,3
600,114969.78328014934,113769.97002815008,4793.251698706953,110890.41667546426,120248.96313683364,3
