n_pop,n_gen,p_mut,p_cx,selection_method,crossover_method,local_search_tries,local_moves,elite,tournament_k,param_name,param_value,repetition,best_length,time_s
80,200,0.15,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.15,0,10770.0,6.3
80,200,0.15,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.15,1,10922.0,6.35
80,200,0.15,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.15,2,10653.0,6.13
80,200,0.05,0.6,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,0.6,0,10919.0,6.21
80,200,0.05,0.6,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,0.6,1,11082.0,6.01
80,200,0.05,0.6,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,0.6,2,10889.0,6.08
80,200,0.05,0.75,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,0.75,0,10653.0,6.8
80,200,0.05,0.75,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,0.75,1,10981.0,5.79
80,200,0.05,0.75,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,0.75,2,11016.0,6.02
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,0.9,0,10919.0,6.02
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,0.9,1,10931.0,6.01
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,0.9,2,11004.0,5.99
80,200,0.05,1.0,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,1.0,0,10820.0,6.41
80,200,0.05,1.0,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,1.0,1,10882.0,5.93
80,200,0.05,1.0,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,1.0,2,10934.0,5.89
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,tournament,0,10923.0,6.02
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,tournament,1,10963.0,6.36
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,tournament,2,11038.0,6.25
80,200,0.05,0.9,roulette,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,roulette,0,14375.0,7.58
80,200,0.05,0.9,roulette,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,roulette,1,16847.0,7.41
80,200,0.05,0.9,roulette,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,roulette,2,14576.0,7.35
80,200,0.05,0.9,rank,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,rank,0,12433.0,7.78
80,200,0.05,0.9,rank,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,rank,1,11374.0,7.82
80,200,0.05,0.9,rank,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,rank,2,11106.0,7.86
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,pmx,0,11116.0,6.04
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,pmx,1,11009.0,6.16
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,pmx,2,11009.0,6.9
80,200,0.05,0.9,tournament,ox,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,ox,0,13296.0,5.52
80,200,0.05,0.9,tournament,ox,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,ox,1,12872.0,5.46
80,200,0.05,0.9,tournament,ox,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,ox,2,13278.0,5.38
80,200,0.05,0.9,tournament,cx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,cx,0,11292.0,5.95
80,200,0.05,0.9,tournament,cx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,cx,1,11043.0,5.87
80,200,0.05,0.9,tournament,cx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,cx,2,10899.0,6.21
80,200,0.05,0.9,tournament,pmx,0,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,0,0,16406.0,2.43
80,200,0.05,0.9,tournament,pmx,0,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,0,1,20232.0,2.77
80,200,0.05,0.9,tournament,pmx,0,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,0,2,17438.0,2.63
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,5,0,10878.0,5.95
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,5,1,10963.0,5.94
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,5,2,10818.0,6.55
80,200,0.05,0.9,tournament,pmx,20,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,20,0,10920.0,14.4
80,200,0.05,0.9,tournament,pmx,20,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,20,1,10800.0,13.78
80,200,0.05,0.9,tournament,pmx,20,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,20,2,11104.0,14.18
80,200,0.05,0.9,tournament,pmx,50,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,50,0,10684.0,30.87
80,200,0.05,0.9,tournament,pmx,50,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,50,1,10854.0,29.88
80,200,0.05,0.9,tournament,pmx,50,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,50,2,10907.0,29.97
