n_pop,n_gen,p_mut,p_cx,selection_method,crossover_method,local_search_tries,local_moves,elite,tournament_k,param_name,param_value,repetition,best_length,time_s
80,100,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,100,0,10940.0,3.56
80,100,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,100,1,11094.0,3.85
80,100,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,100,2,12071.0,3.52
80,300,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,300,0,10852.0,9.28
80,300,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,300,1,10684.0,9.08
80,300,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,300,2,10831.0,9.09
80,600,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,600,0,10916.0,17.78
80,600,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,600,1,10907.0,18.47
80,600,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,600,2,10978.0,18.02
80,1200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,1200,0,10938.0,35.07
80,1200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,1200,1,10952.0,35.57
80,1200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,1200,2,11013.0,34.61
50,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,50,0,10736.0,4.3
50,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,50,1,10963.0,4.8
50,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,50,2,10725.0,4.06
100,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,100,0,11010.0,7.68
100,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,100,1,10801.0,7.6
100,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,100,2,11045.0,7.71
200,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,200,0,10767.0,14.89
200,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,200,1,11003.0,14.99
200,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,200,2,10907.0,16.81
400,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,400,0,10915.0,29.14
400,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,400,1,10793.0,30.04
400,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,400,2,10853.0,29.35
80,200,0.01,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.01,0,11046.0,6.05
80,200,0.01,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.01,1,10809.0,6.33
80,200,0.01,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.01,2,10830.0,6.08
80,200,0.03,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.03,0,11161.0,6.17
80,200,0.03,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.03,1,10628.0,6.73
80,200,0.03,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.03,2,10945.0,6.39
80,200,0.07,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.07,0,11096.0,6.21
80,200,0.07,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.07,1,10638.0,6.15
80,200,0.07,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_mut,0.07,2,10889.0,6.09
