n_pop,n_gen,p_mut,p_cx,selection_method,crossover_method,local_search_tries,local_moves,elite,tournament_k,param_name,param_value,repetition,best_length,time_s
80,200,0.05,1.0,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,1.0,1,232121.1860927717,13.25
80,200,0.05,1.0,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,p_cx,1.0,2,218855.81853799234,13.37
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,tournament,0,210933.1677033157,13.18
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,tournament,1,204717.65677589446,13.81
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,tournament,2,204476.5864185561,12.98
80,200,0.05,0.9,roulette,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,roulette,0,328912.1830987561,14.93
80,200,0.05,0.9,roulette,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,roulette,1,317775.3322135419,16.08
80,200,0.05,0.9,roulette,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,roulette,2,334193.5293215894,15.01
80,200,0.05,0.9,rank,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,rank,0,349474.2172797802,15.64
80,200,0.05,0.9,rank,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,rank,1,372680.0247179097,15.82
80,200,0.05,0.9,rank,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,selection_method,rank,2,338059.95185981574,15.2
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,pmx,0,201466.52163446695,13.22
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,pmx,1,201709.7374860405,13.76
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,pmx,2,192756.39410711927,13.11
80,200,0.05,0.9,tournament,ox,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,ox,0,272117.7123624931,10.8
80,200,0.05,0.9,tournament,ox,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,ox,1,243760.39548462126,10.76
80,200,0.05,0.9,tournament,ox,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,ox,2,254833.6778524495,10.54
80,200,0.05,0.9,tournament,cx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,cx,0,253740.47046908556,11.77
80,200,0.05,0.9,tournament,cx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,cx,1,273744.59889309714,12.4
80,200,0.05,0.9,tournament,cx,5,"['swap', 'two_opt', 'insertion']",1,3,crossover_method,cx,2,261732.88529583463,11.42
80,200,0.05,0.9,tournament,pmx,0,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,0,0,361488.5634908361,7.13
80,200,0.05,0.9,tournament,pmx,0,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,0,1,349946.70988694846,7.5
80,200,0.05,0.9,tournament,pmx,0,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,0,2,361003.49287285906,7.12
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,5,0,225853.5644508293,13.03
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,5,1,223835.74866293295,14.04
80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,5,2,204617.55074459038,13.5
80,200,0.05,0.9,tournament,pmx,20,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,20,0,199618.61635093405,28.48
80,200,0.05,0.9,tournament,pmx,20,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,20,1,211474.4878647897,29.17
80,200,0.05,0.9,tournament,pmx,20,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,20,2,192600.76155808682,27.44
80,200,0.05,0.9,tournament,pmx,50,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,50,0,156652.2303547746,58.58
80,200,0.05,0.9,tournament,pmx,50,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,50,1,162034.9495308391,59.09
80,200,0.05,0.9,tournament,pmx,50,"['swap', 'two_opt', 'insertion']",1,3,local_search_tries,50,2,168068.7398613165,58.71
