param_value,mean_best,median_best,std_best,min_best,max_best,n
cx,11078.0,11043.0,198.8240428117284,10899.0,11292.0,3
ox,13148.666666666666,13278.0,239.76933359654942,12872.0,13296.0,3
pmx,11044.666666666666,11009.0,61.77647880328983,11009.0,11116.0,3
