n_pop,n_gen,p_mut,p_cx,selection_method,crossover_method,local_search_tries,local_moves,elite,tournament_k,param_name,param_value,repetition,best_length,time_s
80,100,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,100,0,153033.31859201306,4.23
80,100,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,100,1,205324.56443433455,4.3
80,100,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,100,2,168972.0390440699,4.08
80,300,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,300,0,115753.19805869156,11.97
80,300,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,300,1,111248.23249879683,12.26
80,300,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,300,2,112686.68984619707,12.99
80,600,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,600,0,120248.96313683364,23.41
80,600,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,600,1,113769.97002815007,23.35
80,600,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,600,2,110890.41667546426,25.28
80,1200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,1200,0,112912.90198983878,45.65
80,1200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,1200,1,113822.0099758382,46.11
80,1200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_gen,1200,2,114782.86050986745,46.31
50,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,50,0,112166.44914489384,4.91
50,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,n_pop,50,1,141415.6718129344,5.04
