param_value,mean_best,median_best,std_best,min_best,max_best,n
0.6,118625.02181806968,121551.63709152128,5711.2726683090705,112043.6258885656,122279.80247412216,3
0.75,116966.08257282934,112043.95636960516,10937.60183770183,109354.3784682687,129499.91288061417,3
0.9,126223.13269332424,126926.89282292806,5364.610847562877,120541.37544365451,131201.12981339011,3
1.0,127006.28930599154,129627.9539576038,5340.224579798583,120861.912276394,130529.00168397684,3
