param_value,mean_best,median_best,std_best,min_best,max_best,n
rank,353404.7312858352,349474.2172797802,17641.543765747352,338059.95185981574,372680.0247179097,3
roulette,326960.34821129584,328912.1830987561,8381.321115468923,317775.3322135419,334193.5293215894,3
tournament,206709.13696592208,204717.6567758945,3660.1032064862993,204476.5864185561,210933.1677033157,3
